symbol,type,entry_price,entry_time,target_price,target_exit_time,status,exit_price,variation,result,quality_score,signal_class,trend_score,alignment_score,market_score,strategy_info,trend_timeframe,entry_timeframe
KAIAUSDT,SHORT,0.1484,2025-06-14 07:51:24,0.14063132,2025-06-21 07:51:24,OPEN,,,,90.0,⭐⭐⭐⭐⭐ (Muito Bom),20.0,30.0,40.0,Baixa,4h,1h
INITUSDT,SHORT,0.5531,2025-06-14 07:51:34,0.52165431,2025-06-21 07:51:34,OPEN,,,,90.0,⭐⭐⭐⭐⭐ (Muito Bom),20.0,30.0,40.0,Baixa,4h,1h
AEROUSDT,LONG,0.7436,2025-06-14 07:51:43,0.78729725,2025-06-21 07:51:43,OPEN,,,,90.0,⭐⭐⭐⭐⭐ (Muito Bom),20.0,30.0,40.0,Alta,4h,1h
HUMAUSDT,SHORT,0.042397,2025-06-14 07:51:44,0.04062103,2025-06-21 07:51:44,OPEN,,,,90.0,⭐⭐⭐⭐⭐ (Muito Bom),20.0,30.0,40.0,Baixa,4h,1h
POPCATUSDT,SHORT,0.3175,2025-06-14 07:51:47,0.30338829,2025-06-21 07:51:47,OPEN,,,,90.0,⭐⭐⭐⭐⭐ (Muito Bom),20.0,30.0,40.0,Baixa,4h,1h
HMSTRUSDT,SHORT,0.000975,2025-06-14 07:51:49,0.00092792,2025-06-21 07:51:49,OPEN,,,,90.0,⭐⭐⭐⭐⭐ (Muito Bom),20.0,30.0,40.0,Baixa,4h,1h
AI16ZUSDT,SHORT,0.1741,2025-06-14 07:51:51,0.16642079,2025-06-21 07:51:51,OPEN,,,,90.0,⭐⭐⭐⭐⭐ (Muito Bom),20.0,30.0,40.0,Baixa,4h,1h
AIXBTUSDT,SHORT,0.17036,2025-06-14 07:51:52,0.16287311,2025-06-21 07:51:52,OPEN,,,,90.0,⭐⭐⭐⭐⭐ (Muito Bom),20.0,30.0,40.0,Baixa,4h,1h
COOKIEUSDT,SHORT,0.1952,2025-06-14 07:51:57,0.18685609,2025-06-21 07:51:57,OPEN,,,,90.0,⭐⭐⭐⭐⭐ (Muito Bom),20.0,30.0,40.0,Baixa,4h,1h
BMTUSDT,LONG,0.1164,2025-06-14 07:52:06,0.12183412,2025-06-21 07:52:06,OPEN,,,,90.0,⭐⭐⭐⭐⭐ (Muito Bom),20.0,30.0,40.0,Alta,4h,1h
